"from","to","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Anguilla","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.929652","0.000000","0.000000","1.390134","0.000000"
"Anguilla","United States","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","..","-4.000000","0.000000","0.000000"
"Antigua and Barbuda","Argentina","0","0.000000","0.000000","0.000000","308.313000","263.954000","-259.976000","53.032000","-8.110000","9.644000","-1.895000","538.842000"
"Antigua and Barbuda","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.611308","5.417848","-1.589309","-6.995016","0.000000"
"Antigua and Barbuda","Cyprus","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.931195","0.000000","0.000000","0.000000"
"Antigua and Barbuda","France","0.894846578554107","1.882264","1.128625","1.241673","48.500224","0.000000","0.000000","0.000000","0.000000","0.000000","..","0.000000"
"Antigua and Barbuda","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","5.668876","4.917739","0.000000","0.000000","0.000000"
"Antigua and Barbuda","Luxembourg","0","-0.941132","-1.128625","0.000000","0.000000","0.000000","0.000000","5.859303","-1.389192","1.324424","0.000000","0.000000"
"Antigua and Barbuda","Slovenia","0","0.000000","0.000000","0.000000","-1.243595","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Argentina","Australia",NA,"..","..","..","..","..","..","10.904394","..","..","..",".."
"Argentina","Austria","-1.2536800565543","0.000000","0.000000","0.998305","0.000000","0.000000","-19.845669","0.000000","0.000000","0.000000","0.000000","0.000000"
"Argentina","Belgium","0","..","..","..","..","..","0.000000","0.000000","-2.778384","13.244244","5.560537","-1.284862"
"Argentina","Bolivia","99.862","31.176000","20.350000","29.903000","55.093000","25.214000","-10.466000","-35.934000","0.000000","37.424000","51.665000","0.000000"
"Argentina","Brazil","10.127","84.109000","66.602000","78.323000","104.020000","122.227000","31.383000","-90.535000","-5.912000","0.000000","0.000000","0.000000"
"Argentina","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.958067","0.000000","0.000000","-0.529770","-0.499336","1.000650"
"Argentina","Chile","0","0.000000","0.000000","0.000000","0.000000","113.000000","281.000000","315.000000","353.789000","409.222000","17.554000","77.669000"
"Argentina","Colombia","3.166","21.334000","7.655000","0.953000","3.127000","14.613000","4.326000","5.542000","22.692000","9.468000","106.961000","20.843000"
"Argentina","Costa Rica","0","0.000000","0.800000","11.900000","3.600000","10.600000","1.124000","15.373000","7.862000","0.000000","0.000000","7.912000"
"Argentina","Croatia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.812677","0.000000","-5.087891","-0.810748"
"Argentina","Czech Republic","0","0.000000","0.000000","0.000000","0.000000","..","..","0.000000","0.000000","0.000000","-2.258433","0.000000"
"Argentina","Denmark","0","0.000000","0.000000","0.000000","-107.055133","-43.216665","4.776163","0.588451","0.000000","17.780686","18.626448","17.263763"
"Argentina","Ecuador","63.6975","4.801000","6.563000","12.564000","1.723000","2.902000","3.645000","56.088000","-53.484000","6.772000","27.442000","25.339000"
"Argentina","France","198.655940439012","-4.705661","-40.630495","27.316807","-38.551460","11.290349","16.424002","71.776468","-86.129892","29.137336","-47.264563","-10.278898"
