"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Hungary","Afghanistan",NA,"HUN","AFG",0.211185316,NA,NA
"Iceland","Afghanistan",NA,"ISL","AFG",0.235824899,NA,NA
"India","Afghanistan",NA,"IND","AFG",0.427243396,NA,NA
"Indonesia","Afghanistan",NA,"IDN","AFG",0.335011941,NA,NA
"Iran, Islamic Rep.","Afghanistan",NA,"IRN","AFG",0.287427476,NA,NA
"Iraq","Afghanistan",NA,"IRQ","AFG",0.450231358,NA,NA
"Ireland","Afghanistan",NA,"IRL","AFG",0.193795309,NA,NA
"Isle of Man","Afghanistan",NA,"IMN","AFG",NA,NA,NA
"Israel","Afghanistan",NA,"ISR","AFG",0.255671359,NA,NA
"Italy","Afghanistan",NA,"ITA","AFG",0.211710304,NA,NA
"Jamaica","Afghanistan",NA,"JAM","AFG",0.361660893,NA,NA
"Japan","Afghanistan",NA,"JPN","AFG",0.28963038,NA,NA
"Jordan","Afghanistan",NA,"JOR","AFG",0.304453064,NA,NA
"Kazakhstan","Afghanistan",NA,"KAZ","AFG",0.28386346,NA,NA
"Kenya","Afghanistan",NA,"KEN","AFG",0.530444735,NA,NA
"Kiribati","Afghanistan",NA,"KIR","AFG",NA,NA,NA
"Korea, Dem. Rep.","Afghanistan",NA,"PRK","AFG",0.418956817,NA,NA
"Korea, Rep.","Afghanistan",NA,"KOR","AFG",0.347391189,NA,NA
"Kosovo","Afghanistan",NA,"KOS","AFG",NA,NA,NA
"Kuwait","Afghanistan",NA,"KWT","AFG",0.321234027,NA,NA
"Kyrgyz Republic","Afghanistan",NA,"KGZ","AFG",0.354819055,NA,NA
"Lao PDR","Afghanistan",NA,"LAO","AFG",0.4813817,NA,NA
"Latvia","Afghanistan",NA,"LVA","AFG",0.262947089,NA,NA
"Lebanon","Afghanistan",NA,"LBN","AFG",0.350353473,NA,NA
"Lesotho","Afghanistan",NA,"LSO","AFG",0.478677282,NA,NA
"Liberia","Afghanistan",NA,"LBR","AFG",0.574009116,NA,NA
"Libya","Afghanistan",NA,"LBY","AFG",0.365473417,NA,NA
"Liechtenstein","Afghanistan",NA,"LIE","AFG",NA,NA,NA
"Lithuania","Afghanistan",NA,"LTU","AFG",0.257202643,NA,NA
"Luxembourg","Afghanistan",NA,"LUX","AFG",0.129131919,NA,NA
"Macao, China","Afghanistan",NA,"MAC","AFG",NA,NA,NA
"Macedonia, FYR","Afghanistan",NA,"MKD","AFG",0.302812714,NA,NA
"Madagascar","Afghanistan",NA,"MDG","AFG",0.538860332,NA,NA
"Malawi","Afghanistan",NA,"MWI","AFG",0.491810578,NA,NA
"Malaysia","Afghanistan",NA,"MYS","AFG",0.309853932,NA,NA
