"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Cuba","Bolivia",782.934821100074,"CUB","BOL",0.386899275,0.000642147782445316,0.00024844651147095
"Cyprus","Bolivia",3.35303991905813,"CYP","BOL",0.226918286,2.24197863666183e-05,5.0874594947992e-06
"Czech Republic","Bolivia",83.8259979764533,"CZE","BOL",0.167790564,0.000226717819661953,3.80411108299294e-05
"Denmark","Bolivia",110.650317328918,"DNK","BOL",0.144967624,0.000426632373346127,6.18478814854689e-05
"Djibouti","Bolivia",0,"DJI","BOL",0.452671246,0,0
"Dominica","Bolivia",0,"DMA","BOL",0.40126814,0,0
"Dominican Republic","Bolivia",20.1182395143488,"DOM","BOL",0.398649596,1.94198457001992e-05,7.74171364276673e-06
"Ecuador","Bolivia",1093.09101361295,"ECU","BOL",0.316319862,0.000952251533942838,0.000301216073806087
"Egypt, Arab Rep.","Bolivia",41.9129989882266,"EGY","BOL",0.283767746,1.12035245168474e-05,3.17919889940153e-06
"El Salvador","Bolivia",165.975475993377,"SLV","BOL",0.383533774,0.000130772737341844,5.0155761489028e-05
"Equatorial Guinea","Bolivia",0,"GNQ","BOL",0.425928626,0,0
"Eritrea","Bolivia",1.67651995952907,"ERI","BOL",0.496463053,1.77929572618419e-06,8.83354588411257e-07
"Estonia","Bolivia",6.70607983811626,"EST","BOL",0.252987409,3.96310853135939e-05,1.00261655893441e-05
"Ethiopia","Bolivia",5.0295598785872,"ETH","BOL",0.547400573,8.10689497828608e-06,4.43771895636462e-06
"Faeroe Islands","Bolivia",0,"FRO","BOL",NA,0,NA
"Fiji","Bolivia",1.67651995952907,"FJI","BOL",0.421671115,9.20237223059308e-06,3.88037455911922e-06
"Finland","Bolivia",63.7077584621045,"FIN","BOL",0.189396599,0.0001934823816214,3.66449050455132e-05
"France","Bolivia",702.461863042678,"FRA","BOL",0.150847644,0.00040417690366577,6.09691336771964e-05
"French Polynesia","Bolivia",0,"PYF","BOL",NA,0,NA
"Gabon","Bolivia",0,"GAB","BOL",0.354821068,0,0
"Gambia, The","Bolivia",0,"GMB","BOL",0.496256117,0,0
"Georgia","Bolivia",0,"GEO","BOL",0.304407025,0,0
"Germany","Bolivia",2147.62206815673,"DEU","BOL",0.15008984,0.000608484569530132,9.13273516832464e-05
"Ghana","Bolivia",3.35303991905813,"GHA","BOL",0.472997101,4.06225159976828e-06,1.92143323022301e-06
"Gibraltar","Bolivia",0,"GIB","BOL",NA,NA,NA
"Greece","Bolivia",6.70607983811626,"GRC","BOL",0.246449197,5.5430730801234e-06,1.36608590950873e-06
"Greenland","Bolivia",0,"GRL","BOL",NA,0,NA
"Grenada","Bolivia",0,"GRD","BOL",0.355232752,0,0
"Guam","Bolivia",0,"GUM","BOL",NA,0,NA
"Guatemala","Bolivia",221.300634657837,"GTM","BOL",0.348952548,0.000253790742067811,8.85609261033735e-05
"Guinea","Bolivia",1.67651995952907,"GIN","BOL",0.545373092,3.14362140349243e-06,1.71444652490005e-06
"Guinea-Bissau","Bolivia",0,"GNB","BOL",0.535389329,0,0
"Guyana","Bolivia",8.38259979764533,"GUY","BOL",0.401113015,1.93382405207401e-05,7.75681996006922e-06
"Haiti","Bolivia",11.7356397167035,"HTI","BOL",0.536118523,1.16223105732759e-05,6.23093597839195e-06
"Honduras","Bolivia",326.921392108168,"HND","BOL",0.402424291,0.000573816852138186,0.000230917839885561
"Hong Kong, China","Bolivia",25.147799392936,"HKG","BOL",NA,3.49765428239256e-05,NA
"Hungary","Bolivia",55.3251586644592,"HUN","BOL",0.211185316,0.000119643286846837,2.52669053400279e-05
"Iceland","Bolivia",5.0295598785872,"ISL","BOL",0.235824899,0.000117808371389292,2.77821472842343e-05
"India","Bolivia",191.123275386313,"IND","BOL",0.427243396,1.68230126709439e-05,7.18752106448509e-06
"Indonesia","Bolivia",25.147799392936,"IDN","BOL",0.335011941,1.00418612939006e-05,3.36414344332242e-06
"Iran, Islamic Rep.","Bolivia",58.6781985835173,"IRN","BOL",0.287427476,4.53052996215723e-05,1.30219879196523e-05
"Iraq","Bolivia",8.38259979764533,"IRQ","BOL",0.450231358,5.41943246330079e-06,2.4399984375412e-06
"Ireland","Bolivia",38.5599590691685,"IRL","BOL",0.193795309,5.23280443869001e-05,1.0140929531325e-05
"Isle of Man","Bolivia",0,"IMN","BOL",NA,NA,NA
"Israel","Bolivia",112.326837288447,"ISR","BOL",0.255671359,0.000110063408085991,2.81400611215169e-05
"Italy","Bolivia",1230.56565029433,"ITA","BOL",0.211710304,0.000353582350687349,7.48570269530532e-05
"Jamaica","Bolivia",3.35303991905813,"JAM","BOL",0.361660893,3.40024016947883e-06,1.22973389610819e-06
"Japan","Bolivia",2325.33318386681,"JPN","BOL",0.28963038,0.00301503630510138,0.000873246110760308
"Jordan","Bolivia",21.7947594738778,"JOR","BOL",0.304453064,2.96885737718631e-05,9.03877725063377e-06
"Kazakhstan","Bolivia",5.0295598785872,"KAZ","BOL",0.28386346,1.35211717902797e-06,3.83816660764319e-07
"Kenya","Bolivia",13.4121596762325,"KEN","BOL",0.530444735,2.93288340534983e-05,1.55573256073669e-05
"Kiribati","Bolivia",0,"KIR","BOL",NA,0,NA
"Korea, Dem. Rep.","Bolivia",5.0295598785872,"PRK","BOL",0.418956817,1.6721585823352e-05,7.00562237174387e-06
"Korea, Rep.","Bolivia",938.851177336277,"KOR","BOL",0.347391189,0.000451863988304471,0.000156973568163372
"Kosovo","Bolivia",0,"KOS","BOL",NA,0,NA
"Kuwait","Bolivia",6.70607983811626,"KWT","BOL",0.321234027,2.58564816651056e-05,8.30598172933352e-06
"Kyrgyz Republic","Bolivia",0,"KGZ","BOL",0.354819055,0,0
"Lao PDR","Bolivia",0,"LAO","BOL",0.4813817,0,0
"Latvia","Bolivia",1.67651995952907,"LVA","BOL",0.262947089,6.09251994451769e-06,1.60201038408537e-06
"Lebanon","Bolivia",77.119918138337,"LBN","BOL",0.350353473,0.000116131772384518,4.06871697805614e-05
"Lesotho","Bolivia",1.67651995952907,"LSO","BOL",0.478677282,3.91674394607162e-06,1.87485634639552e-06
"Liberia","Bolivia",1.67651995952907,"LBR","BOL",0.574009116,3.87800255275628e-06,2.22600881715337e-06
"Libya","Bolivia",8.38259979764533,"LBY","BOL",0.365473417,7.61500787751457e-05,2.78308294947717e-05
"Liechtenstein","Bolivia",1.67651995952907,"LIE","BOL",NA,0.000271691876602083,NA
"Lithuania","Bolivia",8.38259979764533,"LTU","BOL",0.257202643,1.953915220374e-05,5.02552158878121e-06
"Luxembourg","Bolivia",6.70607983811626,"LUX","BOL",0.129131919,0.000116049235570645,1.49856604877204e-05
"Macao, China","Bolivia",0,"MAC","BOL",NA,0,NA
"Macedonia, FYR","Bolivia",0,"MKD","BOL",0.302812714,0,0
"Madagascar","Bolivia",6.70607983811626,"MDG","BOL",0.538860332,8.40247266896904e-05,4.52775921202159e-05
"Malawi","Bolivia",6.70607983811626,"MWI","BOL",0.491810578,3.1510680715447e-05,1.54972860958374e-05
"Malaysia","Bolivia",11.7356397167035,"MYS","BOL",0.309853932,7.92305225646381e-06,2.45498889510678e-06
"Maldives","Bolivia",0,"MDV","BOL",0.397870661,0,0
"Mali","Bolivia",0,"MLI","BOL",0.544416313,0,0
"Malta","Bolivia",3.35303991905813,"MLT","BOL",0.255508018,3.12167679148267e-05,7.97613449828337e-06
"Marshall Islands","Bolivia",0,"MHL","BOL",NA,0,NA
"Mauritania","Bolivia",0,"MRT","BOL",0.465284438,0,0
"Mauritius","Bolivia",0,"MUS","BOL",0.339225937,0,0
"Mayotte","Bolivia",0,"MYT","BOL",NA,0,NA
"Mexico","Bolivia",15720.727660504,"MEX","BOL",0.289546763,0.00132561046313354,0.000383826218599247
"Micronesia, Fed. Sts.","Bolivia",0,"FSM","BOL",0.482598445,0,0
"Moldova","Bolivia",8.38259979764533,"MDA","BOL",0.322664458,1.08790328342347e-05,3.51027723302255e-06
"Monaco","Bolivia",0,"MCO","BOL",0.188172353,0,0
"Mongolia","Bolivia",1.67651995952907,"MNG","BOL",0.399306925,5.23080008370325e-05,2.08869469671329e-05
"Montenegro","Bolivia",0,"MNE","BOL",NA,0,NA
"Morocco","Bolivia",3.35303991905813,"MAR","BOL",0.364708027,1.11151794906177e-06,4.05379518177405e-07
"Mozambique","Bolivia",0,"MOZ","BOL",0.513186923,0,0
"Myanmar","Bolivia",0,"MMR","BOL",0.450518179,0,0
"Namibia","Bolivia",0,"NAM","BOL",0.427028075,0,0
"Nepal","Bolivia",0,"NPL","BOL",0.477594163,0,0
"Netherlands","Bolivia",26.824319352465,"NLD","BOL",0.19057085,2.70157892538116e-05,5.14842192151975e-06
"Netherlands Antilles","Bolivia",358.77527133922,"ANT","BOL",NA,0.00352217410900907,NA
"New Caledonia","Bolivia",1.67651995952907,"NCL","BOL",NA,0.000738934815587857,NA
"New Zealand","Bolivia",40.2364790286976,"NZL","BOL",0.25937051,6.44172488494052e-05,1.67079346868671e-05
"Nicaragua","Bolivia",130.768556843267,"NIC","BOL",0.375611552,0.000179321155278649,6.73550974406464e-05
"Niger","Bolivia",0,"NER","BOL",0.529114441,0,0
"Nigeria","Bolivia",18.4417195548197,"NGA","BOL",0.502678199,1.84320856347097e-05,9.26540761066965e-06
"Northern Mariana Islands","Bolivia",0,"MNP","BOL",NA,0,NA
"Norway","Bolivia",115.679877207506,"NOR","BOL",0.161815828,0.000628914756503722,0.000101768362065068
"Oman","Bolivia",1.67651995952907,"OMN","BOL",0.320837551,0.000109313143913137,3.50717613852014e-05
"Pakistan","Bolivia",41.9129989882266,"PAK","BOL",0.430075243,8.95820055547286e-06,3.85270028073772e-06
"Palau","Bolivia",0,"PLW","BOL",NA,0,NA
"Panama","Bolivia",147.533756438558,"PAN","BOL",0.339105111,0.00104529499679216,0.00035446487591495
"Papua New Guinea","Bolivia",1.67651995952907,"PNG","BOL",0.5018407,2.73953497574847e-05,1.37481014990409e-05
"Paraguay","Bolivia",5366.54039045254,"PRY","BOL",0.344765468,0.0105053475423085,0.00362188106192662
"Peru","Bolivia",14793.6121228845,"PER","BOL",0.369894385,0.0135587025036553,0.00501528792398755
"Philippines","Bolivia",57.0016786239882,"PHL","BOL",0.381765514,1.3331817027717e-05,5.08962798014032e-06
"Poland","Bolivia",276.625793322296,"POL","BOL",0.149939918,8.76643999740218e-05,1.3144392943624e-05
"Portugal","Bolivia",46.9425588668138,"PRT","BOL",0.254607569,2.10540581154233e-05,5.36052255435266e-06
"Puerto Rico","Bolivia",63.7077584621045,"PRI","BOL",NA,3.7360715918585e-05,NA
"Qatar","Bolivia",8.38259979764533,"QAT","BOL",0.293961871,0.000851074616352356,0.000250183486583546
"Romania","Bolivia",67.0607983811626,"ROU","BOL",0.25070976,2.42179561849349e-05,6.07167798281555e-06
"Russian Federation","Bolivia",553.251586644592,"RUS","BOL",0.289435913,5.01375231295488e-05,1.45115997825596e-05
"Rwanda","Bolivia",1.67651995952907,"RWA","BOL",0.520745874,6.35910503888329e-06,3.31147771133108e-06
"Samoa","Bolivia",0,"WSM","BOL",NA,0,NA
"San Marino","Bolivia",0,"SMR","BOL",NA,0,NA
"São Tomé and Principe","Bolivia",0,"STP","BOL",0.502075232,0,0
"Saudi Arabia","Bolivia",10.0591197571744,"SAU","BOL",0.341458032,5.62867715013973e-05,1.92195702245008e-05
"Senegal","Bolivia",3.35303991905813,"SEN","BOL",0.472086175,5.26683197049804e-06,2.48639855932013e-06
"Serbia","Bolivia",0,"SRB","BOL",0.334148658,0,0
"Seychelles","Bolivia",1.67651995952907,"SYC","BOL",0.372139737,0.000136145583035874,5.0665181464682e-05
"Sierra Leone","Bolivia",0,"SLE","BOL",0.589453921,0,0
"Singapore","Bolivia",8.38259979764533,"SGP","BOL",0.352335547,2.82019922023301e-05,9.93656434909772e-06
"Slovak Republic","Bolivia",41.9129989882266,"SVK","BOL",0.187754477,8.06459246596986e-05,1.51416334066631e-05
"Slovenia","Bolivia",13.4121596762325,"SVN","BOL",0.170795336,0.000101688411382759,1.73679063894246e-05
"Solomon Islands","Bolivia",0,"SLB","BOL",0.54393412,0,0
"Somalia","Bolivia",0,"SOM","BOL",0.619269074,0,0
"South Africa","Bolivia",33.5303991905813,"ZAF","BOL",0.365560843,3.81733221147458e-05,1.3954671812377e-05
"Spain","Bolivia",2430.95394131714,"ESP","BOL",0.213517562,0.00177051040933345,0.000378035066096501
"Sri Lanka","Bolivia",6.70607983811626,"LKA","BOL",0.331939377,3.62916653917984e-06,1.2046632800446e-06
"St. Kitts and Nevis","Bolivia",0,"KNA","BOL",0.397369798,0,0
"St. Lucia","Bolivia",0,"LCA","BOL",0.303784368,0,0
"St. Vincent and the Grenadines","Bolivia",0,"VCT","BOL",0.361696647,0,0
"Sudan","Bolivia",0,"SDN","BOL",0.526867847,0,0
"Suriname","Bolivia",0,"SUR","BOL",0.305608387,0,0
"Swaziland","Bolivia",0,"SWZ","BOL",0.411058237,0,0
"Sweden","Bolivia",211.241514900662,"SWE","BOL",0.205265765,0.00066510850723581,0.000136524006545767
"Switzerland","Bolivia",642.107144499632,"CHE","BOL",0.155764363,0.0015754113683821,0.000245392948258997
"Syrian Arab Republic","Bolivia",21.7947594738778,"SYR","BOL",0.349158994,2.3060815752848e-05,8.05189122908377e-06
"Tajikistan","Bolivia",5.0295598785872,"TJK","BOL",0.398371714,6.35351903991395e-06,2.53106226986215e-06
"Tanzania","Bolivia",5.0295598785872,"TZA","BOL",0.535534539,1.58581044805631e-05,8.4925626724122e-06
"Thailand","Bolivia",13.4121596762325,"THA","BOL",0.308106181,1.65353018396697e-05,5.0946287015029e-06
"Timor-Leste","Bolivia",0,"TLS","BOL",0.534921927,0,0
"Togo","Bolivia",3.35303991905813,"TGO","BOL",0.575294446,9.08597802981078e-06,5.22711269702816e-06
"Tonga","Bolivia",0,"TON","BOL",0.416826951,0,0
"Trinidad and Tobago","Bolivia",18.4417195548197,"TTO","BOL",0.302344053,5.14459822641025e-05,1.55543867882949e-05
"Tunisia","Bolivia",8.38259979764533,"TUN","BOL",0.317379887,1.28619278795699e-05,4.08211721702006e-06
"Turkey","Bolivia",18.4417195548197,"TUR","BOL",0.277430808,4.32722763591587e-06,1.20050625943207e-06
"Turkmenistan","Bolivia",1.67651995952907,"TKM","BOL",0.293216469,6.42461212233487e-06,1.88380208120563e-06
"Turks and Caicos Islands","Bolivia",0,"TCA","BOL",NA,NA,NA
"Tuvalu","Bolivia",0,"TUV","BOL",NA,NA,NA
"Uganda","Bolivia",0,"UGA","BOL",0.521598036,0,0
"Ukraine","Bolivia",191.123275386313,"UKR","BOL",0.262116511,2.92902731924945e-05,7.67746421545348e-06
"United Arab Emirates","Bolivia",1.67651995952907,"ARE","BOL",0.297816031,2.99878456227352e-05,8.93086116160373e-06
"United Kingdom","Bolivia",630.371504782929,"GBR","BOL",0.164744418,0.000135093926625243,2.22559703172104e-05
"United States","Bolivia",5391.68818984547,"USA","BOL",0.199021375,0.00222505100437451,0.000442832710335746
"Uruguay","Bolivia",705.814902961736,"URY","BOL",0.273960494,0.0019958924996392,0.000546795695172049
"Uzbekistan","Bolivia",10.0591197571744,"UZB","BOL",0.304348356,5.14675182775135e-06,1.56640545751612e-06
"Vanuatu","Bolivia",0,"VUT","BOL",0.447106462,0,0
"Venezuela, RB","Bolivia",811.435660412068,"VEN","BOL",0.284910779,0.00155560611349956,0.000443208949614321
"Vietnam","Bolivia",5.0295598785872,"VNM","BOL",0.381388268,2.25905363749148e-06,8.61576554121976e-07
"Virgin Islands (U.S.)","Bolivia",0,"VIR","BOL",NA,0,NA
"West Bank and Gaza","Bolivia",82.1494780169242,"PSE","BOL",NA,2.72276001204453e-05,NA
"Yemen, Rep.","Bolivia",0,"YEM","BOL",0.527486219,0,0
"Zambia","Bolivia",5.0295598785872,"ZMB","BOL",0.4972256,2.70545993587033e-05,1.34522393988908e-05
"Zimbabwe","Bolivia",13.4121596762325,"ZWE","BOL",0.472287007,1.06924930589315e-05,5.04992554417101e-06
"Other South","Bolivia",371.649587404179,NA,"BOL",NA,3.67158696328703e-05,NA
"Other North","Bolivia",65.922122032942,NA,"BOL",NA,2.49263392952678e-05,NA
"Afghanistan","Bosnia and Herzegovina",0,"AFG","BIH",0.582658705,0,0
"Albania","Bosnia and Herzegovina",63.0057292379022,"ALB","BIH",0.332708616,4.38010879750483e-05,1.45729993594726e-05
"Algeria","Bosnia and Herzegovina",0,"DZA","BIH",0.332497303,0,0
"American Samoa","Bosnia and Herzegovina",0,"ASM","BIH",NA,0,NA
"Andorra","Bosnia and Herzegovina",0,"AND","BIH",NA,0,NA
"Angola","Bosnia and Herzegovina",0,"AGO","BIH",0.515639404,0,0
"Antigua and Barbuda","Bosnia and Herzegovina",0,"ATG","BIH",0.410103328,0,0
"Argentina","Bosnia and Herzegovina",0,"ARG","BIH",0.262239067,0,0
"Armenia","Bosnia and Herzegovina",0,"ARM","BIH",0.29721401,0,0
"Aruba","Bosnia and Herzegovina",0,"ABW","BIH",NA,0,NA
"Australia","Bosnia and Herzegovina",0,"AUS","BIH",0.238866553,0,0
"Austria","Bosnia and Herzegovina",0,"AUT","BIH",0.194990141,0,0
"Azerbaijan","Bosnia and Herzegovina",0,"AZE","BIH",0.292860758,0,0
"Bahamas, The","Bosnia and Herzegovina",0,"BHS","BIH",0.3484318,0,0
"Bahrain","Bosnia and Herzegovina",0,"BHR","BIH",0.338698428,0,0
"Bangladesh","Bosnia and Herzegovina",0,"BGD","BIH",0.495135268,0,0
"Barbados","Bosnia and Herzegovina",0,"BRB","BIH",0.351954265,0,0
"Belarus","Bosnia and Herzegovina",0,"BLR","BIH",0.230041615,0,0
"Belgium","Bosnia and Herzegovina",0,"BEL","BIH",0.205225833,0,0
"Belize","Bosnia and Herzegovina",0,"BLZ","BIH",0.293049515,0,0
"Benin","Bosnia and Herzegovina",0,"BEN","BIH",0.517243631,0,0
"Bermuda","Bosnia and Herzegovina",0,"BMU","BIH",NA,0,NA
"Bhutan","Bosnia and Herzegovina",0,"BTN","BIH",0.422441886,0,0
"Bolivia","Bosnia and Herzegovina",0,"BOL","BIH",0.378167921,0,0
"Bosnia and Herzegovina","Bosnia and Herzegovina",0,"BIH","BIH",0.2722268,0,0
"Botswana","Bosnia and Herzegovina",0,"BWA","BIH",0.421447167,0,0
"Brazil","Bosnia and Herzegovina",0,"BRA","BIH",0.295596157,0,0
"Brunei Darussalam","Bosnia and Herzegovina",0,"BRN","BIH",0.302437937,0,0
"Bulgaria","Bosnia and Herzegovina",0,"BGR","BIH",0.223077829,0,0
"Burkina Faso","Bosnia and Herzegovina",0,"BFA","BIH",0.533261358,0,0
"Burundi","Bosnia and Herzegovina",0,"BDI","BIH",0.589934385,0,0
"Cambodia","Bosnia and Herzegovina",0,"KHM","BIH",0.49951571,0,0
"Cameroon","Bosnia and Herzegovina",0,"CMR","BIH",0.474332679,0,0
"Canada","Bosnia and Herzegovina",0,"CAN","BIH",0.233574656,0,0
"Cape Verde","Bosnia and Herzegovina",0,"CPV","BIH",0.349308351,0,0
"Cayman Islands","Bosnia and Herzegovina",0,"CYM","BIH",NA,0,NA
"Central African Republic","Bosnia and Herzegovina",0,"CAF","BIH",0.578744904,0,0
"Chad","Bosnia and Herzegovina",0,"TCD","BIH",0.544175509,0,0
"Channel Islands","Bosnia and Herzegovina",0,"","BIH",NA,NA,NA
"Chile","Bosnia and Herzegovina",0,"CHL","BIH",0.282457473,0,0
"China","Bosnia and Herzegovina",0,"CHN","BIH",0.303023198,0,0
"Colombia","Bosnia and Herzegovina",0,"COL","BIH",0.29815216,0,0
"Comoros","Bosnia and Herzegovina",0,"COM","BIH",0.460379667,0,0
"Congo, Dem. Rep.","Bosnia and Herzegovina",0,"COD","BIH",0.571658773,0,0
"Congo, Rep.","Bosnia and Herzegovina",0,"COG","BIH",0.488770024,0,0
"Costa Rica","Bosnia and Herzegovina",0,"CRI","BIH",0.342986709,0,0
"Côte d'Ivoire","Bosnia and Herzegovina",0,"CIV","BIH",0.502742155,0,0
"Croatia","Bosnia and Herzegovina",9733.61118824698,"HRV","BIH",0.2074084,0.0129173654294126,0.00267917009592978
"Cuba","Bosnia and Herzegovina",0,"CUB","BIH",0.386899275,0,0
"Cyprus","Bosnia and Herzegovina",0,"CYP","BIH",0.226918286,0,0
"Czech Republic","Bosnia and Herzegovina",7.54789446707864,"CZE","BIH",0.167790564,2.04142177596892e-05,3.42531311151707e-06
"Denmark","Bosnia and Herzegovina",0,"DNK","BIH",0.144967624,0,0
"Djibouti","Bosnia and Herzegovina",0,"DJI","BIH",0.452671246,0,0
"Dominica","Bosnia and Herzegovina",0,"DMA","BIH",0.40126814,0,0
"Dominican Republic","Bosnia and Herzegovina",0,"DOM","BIH",0.398649596,0,0
"Ecuador","Bosnia and Herzegovina",0,"ECU","BIH",0.316319862,0,0
"Egypt, Arab Rep.","Bosnia and Herzegovina",0,"EGY","BIH",0.283767746,0,0
"El Salvador","Bosnia and Herzegovina",0,"SLV","BIH",0.383533774,0,0
"Equatorial Guinea","Bosnia and Herzegovina",0,"GNQ","BIH",0.425928626,0,0
"Eritrea","Bosnia and Herzegovina",0,"ERI","BIH",0.496463053,0,0
"Estonia","Bosnia and Herzegovina",0,"EST","BIH",0.252987409,0,0
"Ethiopia","Bosnia and Herzegovina",0,"ETH","BIH",0.547400573,0,0
"Faeroe Islands","Bosnia and Herzegovina",0,"FRO","BIH",NA,0,NA
"Fiji","Bosnia and Herzegovina",0,"FJI","BIH",0.421671115,0,0
"Finland","Bosnia and Herzegovina",0,"FIN","BIH",0.189396599,0,0
"France","Bosnia and Herzegovina",0,"FRA","BIH",0.150847644,0,0
"French Polynesia","Bosnia and Herzegovina",0,"PYF","BIH",NA,0,NA
"Gabon","Bosnia and Herzegovina",0,"GAB","BIH",0.354821068,0,0
"Gambia, The","Bosnia and Herzegovina",0,"GMB","BIH",0.496256117,0,0
"Georgia","Bosnia and Herzegovina",0,"GEO","BIH",0.304407025,0,0
"Germany","Bosnia and Herzegovina",6.01272949072366,"DEU","BIH",0.15008984,1.70358331203231e-06,2.55690546729599e-07
"Ghana","Bosnia and Herzegovina",0,"GHA","BIH",0.472997101,0,0
"Gibraltar","Bosnia and Herzegovina",0,"GIB","BIH",NA,NA,NA
"Greece","Bosnia and Herzegovina",0,"GRC","BIH",0.246449197,0,0
"Greenland","Bosnia and Herzegovina",0,"GRL","BIH",NA,0,NA
"Grenada","Bosnia and Herzegovina",0,"GRD","BIH",0.355232752,0,0
"Guam","Bosnia and Herzegovina",0,"GUM","BIH",NA,0,NA
"Guatemala","Bosnia and Herzegovina",0,"GTM","BIH",0.348952548,0,0
"Guinea","Bosnia and Herzegovina",0,"GIN","BIH",0.545373092,0,0
"Guinea-Bissau","Bosnia and Herzegovina",0,"GNB","BIH",0.535389329,0,0
"Guyana","Bosnia and Herzegovina",0,"GUY","BIH",0.401113015,0,0
"Haiti","Bosnia and Herzegovina",0,"HTI","BIH",0.536118523,0,0
"Honduras","Bosnia and Herzegovina",0,"HND","BIH",0.402424291,0,0
"Hong Kong, China","Bosnia and Herzegovina",0,"HKG","BIH",NA,0,NA
"Hungary","Bosnia and Herzegovina",11.424186032375,"HUN","BIH",0.211185316,2.4705345623186e-05,5.21740622232176e-06
"Iceland","Bosnia and Herzegovina",0,"ISL","BIH",0.235824899,0,0
"India","Bosnia and Herzegovina",0,"IND","BIH",0.427243396,0,0
"Indonesia","Bosnia and Herzegovina",0,"IDN","BIH",0.335011941,0,0
"Iran, Islamic Rep.","Bosnia and Herzegovina",0,"IRN","BIH",0.287427476,0,0
"Iraq","Bosnia and Herzegovina",0,"IRQ","BIH",0.450231358,0,0
"Ireland","Bosnia and Herzegovina",0,"IRL","BIH",0.193795309,0,0
"Isle of Man","Bosnia and Herzegovina",0,"IMN","BIH",NA,NA,NA
"Israel","Bosnia and Herzegovina",0,"ISR","BIH",0.255671359,0,0
"Italy","Bosnia and Herzegovina",9.36450635576537,"ITA","BIH",0.211710304,2.69073346026372e-06,5.69655998855404e-07
"Jamaica","Bosnia and Herzegovina",0,"JAM","BIH",0.361660893,0,0
"Japan","Bosnia and Herzegovina",0,"JPN","BIH",0.28963038,0,0
"Jordan","Bosnia and Herzegovina",0,"JOR","BIH",0.304453064,0,0
"Kazakhstan","Bosnia and Herzegovina",0,"KAZ","BIH",0.28386346,0,0
"Kenya","Bosnia and Herzegovina",0,"KEN","BIH",0.530444735,0,0
"Kiribati","Bosnia and Herzegovina",0,"KIR","BIH",NA,0,NA
"Korea, Dem. Rep.","Bosnia and Herzegovina",0,"PRK","BIH",0.418956817,0,0
"Korea, Rep.","Bosnia and Herzegovina",0,"KOR","BIH",0.347391189,0,0
"Kosovo","Bosnia and Herzegovina",0,"KOS","BIH",NA,0,NA
"Kuwait","Bosnia and Herzegovina",0,"KWT","BIH",0.321234027,0,0
"Kyrgyz Republic","Bosnia and Herzegovina",0,"KGZ","BIH",0.354819055,0,0
"Lao PDR","Bosnia and Herzegovina",0,"LAO","BIH",0.4813817,0,0
"Latvia","Bosnia and Herzegovina",0,"LVA","BIH",0.262947089,0,0
"Lebanon","Bosnia and Herzegovina",0,"LBN","BIH",0.350353473,0,0
"Lesotho","Bosnia and Herzegovina",0,"LSO","BIH",0.478677282,0,0
"Liberia","Bosnia and Herzegovina",0,"LBR","BIH",0.574009116,0,0
"Libya","Bosnia and Herzegovina",0,"LBY","BIH",0.365473417,0,0
"Liechtenstein","Bosnia and Herzegovina",0,"LIE","BIH",NA,0,NA
"Lithuania","Bosnia and Herzegovina",0,"LTU","BIH",0.257202643,0,0
"Luxembourg","Bosnia and Herzegovina",0,"LUX","BIH",0.129131919,0,0
"Macao, China","Bosnia and Herzegovina",0,"MAC","BIH",NA,0,NA
"Macedonia, FYR","Bosnia and Herzegovina",20.4176941855212,"MKD","BIH",0.302812714,4.56630715834376e-05,1.3827358635757e-05
"Madagascar","Bosnia and Herzegovina",0,"MDG","BIH",0.538860332,0,0
"Malawi","Bosnia and Herzegovina",0,"MWI","BIH",0.491810578,0,0
"Malaysia","Bosnia and Herzegovina",0,"MYS","BIH",0.309853932,0,0
"Maldives","Bosnia and Herzegovina",0,"MDV","BIH",0.397870661,0,0
"Mali","Bosnia and Herzegovina",0,"MLI","BIH",0.544416313,0,0
"Malta","Bosnia and Herzegovina",0,"MLT","BIH",0.255508018,0,0
"Marshall Islands","Bosnia and Herzegovina",0,"MHL","BIH",NA,0,NA
"Mauritania","Bosnia and Herzegovina",0,"MRT","BIH",0.465284438,0,0
"Mauritius","Bosnia and Herzegovina",0,"MUS","BIH",0.339225937,0,0
"Mayotte","Bosnia and Herzegovina",0,"MYT","BIH",NA,0,NA
"Mexico","Bosnia and Herzegovina",0,"MEX","BIH",0.289546763,0,0
"Micronesia, Fed. Sts.","Bosnia and Herzegovina",0,"FSM","BIH",0.482598445,0,0
"Moldova","Bosnia and Herzegovina",0,"MDA","BIH",0.322664458,0,0
"Monaco","Bosnia and Herzegovina",0,"MCO","BIH",0.188172353,0,0
"Mongolia","Bosnia and Herzegovina",0,"MNG","BIH",0.399306925,0,0
"Montenegro","Bosnia and Herzegovina",0,"MNE","BIH",NA,0,NA
"Morocco","Bosnia and Herzegovina",0,"MAR","BIH",0.364708027,0,0
"Mozambique","Bosnia and Herzegovina",0,"MOZ","BIH",0.513186923,0,0
"Myanmar","Bosnia and Herzegovina",0,"MMR","BIH",0.450518179,0,0
"Namibia","Bosnia and Herzegovina",0,"NAM","BIH",0.427028075,0,0
"Nepal","Bosnia and Herzegovina",0,"NPL","BIH",0.477594163,0,0
"Netherlands","Bosnia and Herzegovina",0,"NLD","BIH",0.19057085,0,0
"Netherlands Antilles","Bosnia and Herzegovina",0,"ANT","BIH",NA,0,NA
