"from","to","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","from_iso","to_iso","avg","nd","TOTAL","PERC","NDX"
"Angola","Argentina","0","0.000000","0.000000","0.000000","0.000000","0.000000","1.433000",6.873,3.016,0.504,0,0.996,"AGO","ARG",2.2778,0.262239067,309.4151818,0.0073616297259529,0.00193050691093335
"Angola","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,40.286562,1.324424,47.264563,12.848615,"AGO","BEL",20.3448328,0.205225833,309.4151818,0.0657525357406364,0.0134941189192344
"Angola","France","-36.6887097207184","7.529057","-3.385875","2.483346","19.897528","70.251060","376.383380",329.58582,22.227069,51.652551,79.23765,44.970147,"AGO","FRA",105.5346474,0.150847644,309.4151818,0.341077793229343,0.0514507815293656
"Angola","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2.446259,65.792124,57.241621,7.673541,0.83516,"AGO","ITA",26.797741,0.211710304,309.4151818,0.0866077121494366,0.0183357450679017
"Angola","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,7.946546,2.780268,2.569723,"AGO","LUX",2.6593074,0.129131919,309.4151818,0.00859462481617636,0.00110984039559788
"Angola","Mozambique","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0.775,1.16,0,"AGO","MOZ",0.387,0.513186923,309.4151818,0.00125074664322758,0.000641866821290538
"Angola","Portugal","1.62146200034004","1.141593","3.817009","2.366629","7.189225","21.982309","5.994761",66.933753,160.523892,40.54063,145.378846,261.820083,"AGO","PRT",135.0394408,0.254607569,309.4151818,0.436434437426173,0.11111951114096
"Angola","Sweden","0","-3.900455","-11.089188","-8.691163","0.000000","-3.701623","-7.210247",1.213758,3.658304,0,0,0,"AGO","SWE",0.9744124,0.205265765,309.4151818,0.003149206817621,0.000646424346562189
"Angola","United States","-3","0.000000","1.000000","..","-13.000000","41.000000","-69.000000",77,NA,NA,NA,0,"AGO","USA",38.5,0.199021375,309.4151818,0.124428283628583,0.0247638880966506
"Anguilla","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,1.389192,1.324424,4.170403,1.284862,"AIA","BEL",1.6337762,0.205225833,722.9361184,0.00225991779690835,0.00046379351238204
"Anguilla","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",6.591716,6.251363,2.781291,2.595798,0,"AIA","BGR",3.6440336,0.223077829,722.9361184,0.00504060249205001,0.00112444666077851
"Anguilla","Colombia","30.439","1.584000","-11.843000","-12.176000","59.033000","-1.646000","1303.649000",1224.081,920.005,337.495,482.371,611.666,"AIA","COL",715.1236,0.29815216,722.9361184,0.989193348898807,0.294930133631813
"Anguilla","Japan","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.854493",4.353757,0,0,0,0,"AIA","JPN",0.8707514,0.28963038,722.9361184,0.00120446520493006,0.000348849715000672
"Anguilla","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2.929652,0,0,1.390134,0,"AIA","LUX",0.8639572,0.129131919,722.9361184,0.00119506714080368,0.000154321313225823
