Country code,Country name,Physical proximity to climate vulnerable country
TJK,Tajikistan,0.40834730141761
TKM,Turkmenistan,0.351024372459671
TLS,Timor-Leste,0.335011941
TON,Tonga,0.416826951
TTO,Trinidad and Tobago,0.302344053
TUN,Tunisia,0.34334499772339
TUR,Turkey,0.323300206924756
TWN,Taiwan,0.303023198
TZA,United Republic of Tanzania,0.530173617457193
UGA,Uganda,0.542750626199001
UKR,Ukraine,0.26193573107902
URY,Uruguay,0.286413452407625
USA,United States,0.24570851039006
UZB,Uzbekistan,0.323578700114225
VCT,Saint Vincent and the Grenadines,0.361696647
VEN,Venezuela,0.311920691202909
VNM,Viet Nam,0.43641013756496
VUT,Vanuatu,0.447106462
WLF,Wallis and Futuna Islands,0.54393412
YEM,Yemen,0.337764728609891
ZAF,South Africa,0.44436290160191
ZMB,Zambia,0.524534243865991
ZWE,Zimbabwe,0.4736703319573
